"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
ETHOSLTD,Ethos Limited,7(2),MAHEN DISTRIBUTION LIMITED,Promoters,Equity Shares,1436573,5.87,,305780,1022960838,Sell,Equity Shares,1130793,4.62,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 22:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169203_1231913_24082024104323_WEB.xml
ETHOSLTD,Ethos Limited,7(2),MAHEN DISTRIBUTION LIMITED,Promoters,Equity Shares,1130793,4.62,,6097,20131651,Sell,Equity Shares,1124696,4.59,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 22:43,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169203_1231913_24082024104323_WEB.xml
CARYSIL,CARYSIL LIMITED,7(2),Tejal Jagdish Naik,Immediate relative,Equity Shares,97000,0.34,,2000,1764762,Sell,Equity Shares,95000,0.33,23-Aug-24,23-Aug-24,24-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 20:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169201_1231895_24082024084227_WEB.xml
CARYSIL,CARYSIL LIMITED,7(2),Tejal Jagdish Naik,Immediate relative,Equity Shares,99000,0.35,,2000,1713557,Sell,Equity Shares,97000,0.34,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 20:39,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169199_1231892_24082024083913_WEB.xml
CARYSIL,CARYSIL LIMITED,7(2),Tejal Jagdish Naik,Immediate relative,Equity Shares,100000,0.35,,1000,832284,Sell,Equity Shares,99000,0.35,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 20:39,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169199_1231892_24082024083913_WEB.xml
SANGINITA,Sanginita Chemicals Limited,7(2),Sanginita Industries LLP,Promoters,Equity Shares,4178580,16.13,,61946,1045137,Sell,Equity Shares,4116634,15.89,23-Aug-24,23-Aug-24,24-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 18:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169197_1231860_24082024065657_WEB.xml
HARIOMPIPE,Hariom Pipe Industries Limited,7(2),AMITABHA BHATTACHARYA,-,Equity Shares,51098,0.18,,17322,14274845,Sell,Equity Shares,33776,0.12,23-Aug-24,23-Aug-24,24-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 17:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169195_1231828_24082024052939_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),Alltime Suppliers Pvt Ltd,Promoter Group,Equity Shares,14212844,5.34,,21000,398962,Sell,Equity Shares,14191844,5.33,23-Aug-24,23-Aug-24,24-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 16:53,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169193_1231811_24082024045352_WEB.xml
DAMODARIND,Damodar Industries Limited,7(2),Akshay Anil Biyani,Promoter Group,Equity Shares,397900,1.71,,5000,252500,Sell,Equity Shares,392900,1.69,23-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 16:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169191_1231802_24082024044834_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),Alltime Suppliers Pvt Ltd,Promoter Group,Equity Shares,14217844,5.34,,5000,95843,Sell,Equity Shares,14212844,5.34,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,24-08-2024 14:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169188_1231751_24082024023044_WEB.xml
