Name,NSE Symbol,BSE Code,_id,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,Strength Vs Nifty 500 Monthly,SMA 20D,EV To EBITDA,Fixed Assets 3 Years Back,52WH Distance,52WL,Strength Vs Nifty 500 Weekly,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Fixed Assets Latest Year
20 Microns Ltd,20MICRONS,533022,20MICRONS,1068,302.7,Mining / Minerals,Mining & Mineral products,17.8,1.31,15.7,35.6,30.9,3.03,-3.89,2.09,59.7,100,11,319,10.2,203,13,126.5,53,0.34,0.41,0.06,0.06,44.9,0.12,19.8,39.9,212
360 ONE WAM Ltd,360ONE,542772,360ONE,40203,1104.25,Finance - Investment / Others,Finance,43.5,14.2,36.4,26.1,0.47,11.6,0.08,3.24,37.7,59,10,1093,25.3,83.7,9.12,500,31,2.75,1.8,4.94,0.63,15.8,-5.66,12.7,29.3,940
3B Blackbio DX Ltd,null,532067,532067,1210,1410.05,Medical Accessories / Disposables,Healthcare,33.1,15.3,23.1,27.5,28.6,5.42,-0.28,2.44,27.3,86.4,18,1440,23.1,5,9.03,694.9,78,0,0.01,1.96,0.22,41.3,2.86,19.9,29.2,7.4
3M India Ltd,3MINDIA,523395,3MINDIA,40337,35807.3,Diversified - Large,Diversified,66.1,9.64,2.98,23.2,-9.08,18.8,2.52,0.36,-1.87,21,-5,35337,44.2,266,12.4,28865,-5,0.01,0.01,-0.07,0.13,75,0,36.2,22.6,332
3i Infotech Ltd,3IINFOLTD,532628,3IINFOLTD,567,33.46,Computers - Software - Medium / Small,IT - Software,null,0.71,7.39,-2191,91.4,2.96,1.95,-0.45,-8.85,-18.2,-4,34.3,-2.53,851,47.6,32.65,-23,0.29,2.08,-2.06,0.31,0,0,-9.85,-1872,479
5Paisa Capital Ltd,5PAISA,540776,5PAISA,1694,542.7,Securities/Commodities Trading Services,Stock/ Commodity Brokers,28.3,4.11,21.9,18.3,248,3.14,7.07,13.3,1.72,6.4,-1,521,2.93,7.78,28.4,422.45,-10,0.62,1.5,0.25,-0.84,32.8,-0.61,11.4,18,24.5
63 Moons Technologies Ltd,63MOONS,526881,63MOONS,1820,395.05,Computers - Software - Medium / Small,IT - Software,10.4,4.61,8.52,459,-450,0.54,-8.64,19.9,6.63,0.37,0,369,3.47,257,42.8,249.95,0,0,0,-0.03,-1.04,45.6,0,6.4,22.6,269
A B Infrabuild Ltd,ABINFRA,null,ABINFRA,425,85.45,Construction - Civil / Turnkey - Medium / Small,Infrastructure Developers & Operators,36.4,2.31,49.6,51.2,-37,4.7,3.58,12.4,57.2,60.1,31,79.3,18.5,1.06,0.52,26.62,92,0.26,0.92,0,0,36.8,-22.5,17.3,73.6,36.2
A-1 Acid Ltd,null,542012,542012,383,332.85,Trading - Medium / Small,Trading,219,1.76,-26.7,28.1,10.6,8.02,0.38,-3.21,-4.49,-3.94,-8,337,53.1,14.2,24.3,332.15,-40,0.22,0.41,0,0.05,70,0,4.87,39,13.1
A2Z Infra Engineering Ltd,A2ZINFRA,533292,A2ZINFRA,280,15.87,Engineering - Turnkey Services,Infrastructure Developers & Operators,null,0.74,3.29,94.9,-39.1,8.67,-5.82,-11.8,-28.5,21.6,7,18,52.9,122,35.4,8.95,36,6.15,0.84,0.11,0.02,28.1,0,-21.7,-310,72.7
AAVAS Financiers Ltd,AAVAS,541988,AAVAS,14268,1802.9,Finance - Housing - Large,Finance,29.1,7.07,25.4,14.2,22.1,3.78,-1.99,7.31,-2.75,32.1,-29,1752,17,58.3,8.9,1331.8,-130,3.29,2.64,10,0.92,26.5,-12.7,8.96,14.1,116
AB Cotspin India Ltd,ABCOTS,null,ABCOTS,295,287.1,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg,Textiles,44.1,1.15,51.5,247,138,4.33,27.6,25,13.2,6.04,13,240,14.6,22.1,25.6,84,46,1.78,1.51,0,0,34.9,0,9.36,144,77.3
